id,name,city,query_usada,latitude,longitude,status
09517ed7-3f5a-4b48-9ac5-b05c8899261a,Capilla Sagrado Corazón de Jesús,Godoy,"Godoy, Santa Fe, Argentina",-33.3671562,-60.5092356,ok_ciudad
b7b04c1c-f43c-4f6a-a433-6c6ca7341a9e,Capilla Santa Teresita del Niño Jesús,Godoy,"Godoy, Santa Fe, Argentina",-33.3671562,-60.5092356,ok_ciudad
307503b7-f6cb-4287-b404-5d42bbb7afed,Capilla Ntra. Sra. de Fátima,Carcarañá,"Carcarañá, Santa Fe, Argentina",-32.8563501,-61.148729,ok_ciudad
6395fe84-619d-414d-a055-a277cd129dce,Capilla Sagrado Corazón de Jesús,Carcarañá,"Carcarañá, Santa Fe, Argentina",-32.8563501,-61.148729,ok_ciudad
4d374aba-1d5a-466f-821f-1471931cf014,Capilla del Colegio Ntra. Sra. del Rosario,Arequito,"Arequito, Santa Fe, Argentina",-33.1448719,-61.4698345,ok_ciudad
ccc3abeb-ca9b-4b2e-8095-2fadebb37307,Capilla María Auxiliadora,Arequito,"Arequito, Santa Fe, Argentina",-33.1448719,-61.4698345,ok_ciudad
5f891f65-1132-4a98-8763-2caf7d3f1ab1,Capilla Ntra. Sra. de Fátima,Arequito,"Arequito, Santa Fe, Argentina",-33.1448719,-61.4698345,ok_ciudad
fce2506c-2563-4faa-a6c1-b55d18f65d55,Capilla Ntra. Sra. de Luján,Sn. José de la Esquina,"Sn. José de la Esquina, Santa Fe, Argentina",-33.1279104,-61.6995423,ok_ciudad
e2bb065d-e4de-4444-a6c6-1018f7109b43,Capilla Ntra. Sra. de Itatí,Pérez,"Pérez, Santa Fe, Argentina",-32.9982237,-60.7708529,ok_ciudad
32c8ff94-05fd-4e17-90a1-5edcbdc895fa,Capilla Ntra. Sra. de Itatí,Carcarañá,"Carcarañá, Santa Fe, Argentina",-32.8563501,-61.148729,ok_ciudad
b471e5bc-1bd7-4c1b-b472-a4fcb4f40415,"Capilla Ntra. Sra. de la Misericordia, Hnas. de Ntra. Sra. de la Misericordia",Sn. José de la Esquina,"Sn. José de la Esquina, Santa Fe, Argentina",-33.1279104,-61.6995423,ok_ciudad
1d7d391e-791d-4f79-81ca-54a3fe747657,Iglesia San Juan Bautista,Andino,"Andino, Santa Fe, Argentina",-32.669687,-60.8753866,ok_ciudad
bed89882-363e-40d2-9f47-4b95427ee9b4,Capilla Santa Teresa de Ávila,Sn. José de la Esquina,"Sn. José de la Esquina, Santa Fe, Argentina",-33.1279104,-61.6995423,ok_ciudad
8a55080f-0f89-44e5-9940-db685a2350a0,Capilla Jesús Misericordioso,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
382f033c-8239-4701-ba9a-48d55ba25d18,Capilla Ntra. Sra. de la Asunción,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
4ce47703-46a8-4a85-8589-1f67f7f2e917,Capilla Sagrado Corazón de Jesús,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
24154ea0-3f15-4d4d-bb36-a8fb402c0102,Capilla San Cayetano,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
77be9d79-a38f-46c0-bc69-52cd072070ab,Capilla San Francisco,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
dbbca31e-ca3d-4d22-b36d-3fe057f89224,Capilla Santa Cecilia,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
27428690-3482-4a08-b06b-a99690b1fc40,Iglesia Sagrado Corazón de Jesús,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
41a40ab4-1c33-4dc2-a25b-0096b4546686,Capilla Ntra. Sra. de la Esperanza,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
17caa915-6761-423e-ab93-eb77103a5f8f,Capilla San Francisco.,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
cb7a7bae-4386-4e9d-81aa-e1de599997a5,Capilla Virgen de Lourdes,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
6283a5a4-f59f-4d3c-8248-5db4332d9dda,Iglesia San Enrique la Antigua,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
c64b1db9-fa45-4aa7-9093-521e0788a3ca,Iglesia Santa María de los Ángeles,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
3c72eb0a-a7cd-4244-ac01-ef0113fffeaa,Capilla María Madre Nuestra,San Jerónimo Sud,"San Jerónimo Sud, Santa Fe, Argentina",-32.8788862,-61.0230257,ok_ciudad
247c04cd-4764-4698-85e0-0d714f07baf1,Capilla Madre del Salvador,Roldán,"Roldán, Santa Fe, Argentina",-32.9000832,-60.9066116,ok_ciudad
b4da51f1-9e0b-4bd7-9f2f-eab119b59772,Capilla Virgen del Rosario,Chabás,"Chabás, Santa Fe, Argentina",-33.2456886,-61.3588841,ok_ciudad
154c8cc4-9cd1-4554-863e-b19300532cba,Iglesia San Carlos Borromeo,Chabás,"Chabás, Santa Fe, Argentina",-33.2456886,-61.3588841,ok_ciudad
17a1b28b-0c92-49c0-8fd5-0650c68e5dd3,Capilla Ntra. Sra. de Lourdes,Serodino,"Serodino, Santa Fe, Argentina",-32.6036519,-60.9474434,ok_ciudad
95540495-c0ce-42c6-901f-7058bc518c1d,Capilla Virgén de Itatí,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
d225a68c-c5e5-40b5-82e2-f583e34101ea,Capilla Virgén de Itatí,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
8dde448e-cfee-47e2-8c79-902013843b8d,Capilla Ntra. Sra. de Itatí,Roldán,"Roldán, Santa Fe, Argentina",-32.9000832,-60.9066116,ok_ciudad
218fe7d3-c36c-453d-8878-1c8ef2aba26a,Capilla San Roque,VGG,"VGG, Santa Fe, Argentina",-33.0250796,-60.633744,ok_ciudad
e33b9010-c635-44f6-a88a-aee1ca104e19,Iglesia San Miguel Arcángel,Serodino,"Serodino, Santa Fe, Argentina",-32.6036519,-60.9474434,ok_ciudad
b1535084-76cc-47a7-9dc1-79acc8772972,Capilla Ntra. Sra. de los Milagros,Capitán Bermúdez,"Capitán Bermúdez, Santa Fe, Argentina",-32.8166653,-60.7166716,ok_ciudad
be5d3f19-58d0-4f51-80ec-5b785f149d9d,Capilla de Bº Fonavi Sur,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
1adef44e-f0ee-497e-8c73-71a051ced7a6,Capilla Ntra. Sra. de Fátima,Villa Mugueta,"Villa Mugueta, Santa Fe, Argentina",-33.3119003,-61.0563641,ok_ciudad
75a73db1-7666-48be-82a8-e2409f298446,Iglesia San Antonio de Padua,Villa Mugueta,"Villa Mugueta, Santa Fe, Argentina",-33.3119003,-61.0563641,ok_ciudad
6cc60478-0813-4ab1-ada3-bff1c9ef487e,"Iglesia “Santa Rita”,",Álvarez,"Álvarez, Santa Fe, Argentina",-33.1305513,-60.8021185,ok_ciudad
24af06cc-1b44-4ef7-ac76-b33e3c5a80c5,Capilla Jesús Misericordioso,Villa Constitución,"Villa Constitución, Santa Fe, Argentina",-33.227206,-60.3298225,ok_ciudad
7f3552e9-9826-4b01-aa7c-8e4079f6e789,Capilla Stella Maris,Villa Constitución,"Villa Constitución, Santa Fe, Argentina",-33.227206,-60.3298225,ok_ciudad
ef744f9e-9d9f-4ecd-a587-f4ed7b4ca85c,Templo Ntra. Sra. del Carmen,Villa Constitución,"Villa Constitución, Santa Fe, Argentina",-33.227206,-60.3298225,ok_ciudad
ccf28638-05e7-44db-94f0-de6b4b41f4cb,Capilla Colegio San Antonio,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
0c0cbcb9-6a5b-41b7-b64f-3756b3bf14df,Capilla San Cayetano,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
118a0d09-bddc-4fda-a59e-d31735d2d85a,Capilla San José Obrero,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
edb3d628-4184-48f7-924e-f0d866c32745,Capilla Stella Maris,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
c0bc3531-a4bf-4887-9830-0b22af6c408d,Capilla Virgen del Rosario,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
08fe9e0e-1cd1-415b-aa83-3fbc3abefde3,Capilla Sagrada Familia,Casilda,"Casilda, Santa Fe, Argentina",-33.0443368,-61.1641779,ok_ciudad
2b4cefab-4834-4269-a2c0-c4a4c81907d6,Capilla Virgen de Lourdes,Casilda,"Casilda, Santa Fe, Argentina",-33.0443368,-61.1641779,ok_ciudad
18130e2a-00fe-444f-a8f7-348177da6fb8,Capilla Virgen del Rosario de San Nicolás,Casilda,"Casilda, Santa Fe, Argentina",-33.0443368,-61.1641779,ok_ciudad
b1cb84dd-d6ee-477f-9269-ace558fd5a25,"Capilla Ntra. Sra. del Carmen, Hospital Granaderos a Caballo",San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
57bdb746-af80-4320-ab3e-04ab39a86866,Capilla Ntra. Sra. de Guadalupe,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
a89a77f8-a267-45d5-8fa3-c70bfa9db711,"Capilla Ntra. Sra. de Luján, Jefatura de Policía",San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
535e3140-15c6-44b5-affb-4bc82ae8f8ae,"Capilla Ntra. Sra. de la Misericordia, Colegio Ntra. Sra. de la Misericordia",Casilda,"Casilda, Santa Fe, Argentina",-33.0443368,-61.1641779,ok_ciudad
a8e0dbfe-f686-4884-90b2-1b932046579d,Capilla Ntra. Sra. de la Esperanza,Granadero Baigorria,"Granadero Baigorria, Santa Fe, Argentina",-32.8547765,-60.7074143,ok_ciudad
36dc3488-40be-4ada-9284-977a3de16911,"Capilla San Carlos Borromeo, Hospital San Carlos",Casilda,"Casilda, Santa Fe, Argentina",-33.0443368,-61.1641779,ok_ciudad
0529cf0b-e82e-4f51-8fc3-f3bc851cf838,"Capilla San Ignacio de Loyola, Cementerio",Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
8eccdfe3-253c-45d0-8624-adc61619aa8d,"Capilla San José, Hospital Provincial",Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
499bbd3a-3bce-4a9e-8a5a-c47ba0e47d64,"Capilla Sagrada Familia, Colegio Sagrada Familia",Casilda,"Casilda, Santa Fe, Argentina",-33.0443368,-61.1641779,ok_ciudad
063fc2c1-8bb1-4ffe-ae62-e5d23a22b770,"Capilla Sagrado Corazón, Instituto Razetto",Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
baddc019-a61e-441f-889c-95130cf4feb8,"Capilla Santa Rosa de Viterbo, Hnas . Franciscanas Educacionistas",San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
ed10be9d-0e4c-4218-8cdc-0b04d855f715,Oratorio Ntra. Sra. de Schöenstatt,Cañada de Gómez,"Cañada de Gómez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
eca878fc-6f07-4d3a-9cac-d0f7fc9eb6c6,Capilla Santa Teresa del Niño Jesús,La Carolina,"La Carolina, Santa Fe, Argentina",-33.088746,-60.6935835,ok_ciudad
02959472-dc15-4365-bf70-34587f6b2c28,Iglesia “Ntra. Sra. de Luján,Pueblo Muñoz,"Pueblo Muñoz, Santa Fe, Argentina",-33.1724748,-60.8968966,ok_ciudad
24ec3279-14c1-4a29-9998-57735d09731f,Iglesia Sagrado Corazón,Piñero,"Piñero, Santa Fe, Argentina",-33.1092111,-60.7966353,ok_ciudad
e4f301c7-045a-4014-af26-49fd1bb4f903,Capilla San Marcos,Granadero Baigorria,"Granadero Baigorria, Santa Fe, Argentina",-32.8547765,-60.7074143,ok_ciudad
50c37448-6ffb-4b67-9f38-a76cd8d442a0,Capilla San Mateo,Granadero Baigorria,"Granadero Baigorria, Santa Fe, Argentina",-32.8547765,-60.7074143,ok_ciudad
d92605d3-1ea5-4c92-bad1-78fbd4c7f86b,Ermita de Schöenstatt,Granadero Baigorria,"Granadero Baigorria, Santa Fe, Argentina",-32.8547765,-60.7074143,ok_ciudad
3c99a004-9766-4880-8779-3e83529026d8,Capilla Sagrados Corazones de Jesús y María,Capitán Bermúdez,"Capitán Bermúdez, Santa Fe, Argentina",-32.8166653,-60.7166716,ok_ciudad
910e982a-3481-4079-9aa0-c44a91e8cf54,"Capilla del “Espíritu Santo”,",Capitán Bermúdez,"Capitán Bermúdez, Santa Fe, Argentina",-32.8166653,-60.7166716,ok_ciudad
b59a995d-a074-42cc-b583-527a6a197d9f,Capilla Ntra. Sra. de los Dolores,Capitán Bermúdez,"Capitán Bermúdez, Santa Fe, Argentina",-32.8166653,-60.7166716,ok_ciudad
81a38bdd-6149-4706-916a-1b1beb9d4f03,"Hogarcito “San Roque”,",Capitán Bermúdez,"Capitán Bermúdez, Santa Fe, Argentina",-32.8166653,-60.7166716,ok_ciudad
919e6fea-63b9-4282-847c-62396982362f,Capilla Sagrado Corazón de Jesús,Las Rosas,"Las Rosas, Santa Fe, Argentina",-32.4756443,-61.5761736,ok_ciudad
cf4062c9-6cda-48bf-ac4d-0da59c465ef4,Capilla San José Obrero,Las Rosas,"Las Rosas, Santa Fe, Argentina",-32.4756443,-61.5761736,ok_ciudad
f04a5356-fe90-4a63-8a4c-95c4023dfaff,Capilla Ntra. Sra. de Lourdes,Oliveros,"Oliveros, Santa Fe, Argentina",-32.5764738,-60.85222,ok_ciudad
98c8d183-082a-48d8-8773-a0dc241e1cb0,Capilla Ntra. Sra. de Luján,Totoras,"Totoras, Santa Fe, Argentina",-32.5842697,-61.1667933,ok_ciudad
2e213615-61a0-4ec7-a7c0-aed45235635f,Capilla San Francisco de Asís,Santa Teresa,"Santa Teresa, Santa Fe, Argentina",-33.4366946,-60.7904524,ok_ciudad
943150bf-9856-4454-9298-e72b8f5fc1cc,Iglesia San Antonio de Padua,Santa Teresa,"Santa Teresa, Santa Fe, Argentina",-33.4366946,-60.7904524,ok_ciudad
635a1fce-6db4-4a92-8000-d123a63e4b97,Capilla Ntra. Sra. de Luján,Empalme V.C.,"Empalme V.C., Santa Fe, Argentina",,,no_encontrado
7e7559dd-ec5e-4e38-8e93-076664890e43,Capilla Santa Ana,Empalme V.C.,"Empalme V.C., Santa Fe, Argentina",,,no_encontrado
196fedd4-cde5-4ae0-899a-b0bba1710b41,Capilla de la Medalla Milagrosa,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
5b00a210-aeb6-4e1f-92e7-fa6c986b75e7,Capilla Ntra. Sra. de la Esperanza,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
92a726a4-3376-4a59-bd2b-0c1b18ebf403,Capilla San José Obrero,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
e7206f1f-0620-4ff5-a094-333f0736ef4d,Capilla San Juan Bautista,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
1e236c0f-2e1c-4bf2-9308-034e38885ba8,Capilla Ntra. Sra. de Itatí,San Lorenzo,"San Lorenzo, Santa Fe, Argentina",-32.7454865,-60.743091,ok_ciudad
4b898657-6d4b-41e3-8381-a0cb454655bd,Capilla Ntra. Sra. de la Medalla Milagrosa,Empalme V.C.,"Empalme V.C., Santa Fe, Argentina",,,no_encontrado
030a82f5-e224-4550-ad68-cdd12d12b778,Capilla Ntra. Sra. de la Medalla Milagrosa,Las Rosas,"Las Rosas, Santa Fe, Argentina",-32.4756443,-61.5761736,ok_ciudad
9babb692-2d72-46bc-988e-0eff85ed40a6,Capilla Ntra. Sra. de la Medalla Milagrosa,Villa Eloisa,"Villa Eloisa, Santa Fe, Argentina",-32.9623404,-61.5462137,ok_ciudad
fcbec9fb-57bb-461e-a9dd-3bbcabb40d2b,Capilla Ntra. Sra. del Rosario de San Nicolás,Empalme V.C.,"Empalme V.C., Santa Fe, Argentina",,,no_encontrado
2a3fed98-10da-4873-bded-442eefddd0dc,"Capilla San Lucas, Hospital Eva Perón",Granadero Baigorria,"Granadero Baigorria, Santa Fe, Argentina",-32.8547765,-60.7074143,ok_ciudad
46825c4b-c4e6-4f05-805c-c2449852c1f5,Iglesia Ntra. Sra. del Carmen,Carmen del Sauce,"Carmen del Sauce, Santa Fe, Argentina",-33.235991,-60.811795,ok_ciudad
e692045b-d34e-4003-8b32-ab97a88ac1e3,Capilla del Hogarcito “San José Obrero”,Capitán Bermúdez,"Capitán Bermúdez, Santa Fe, Argentina",-32.8166653,-60.7166716,ok_ciudad
3c550b76-d781-408d-98c3-9033b0729d9e,Capilla Milagroso Niño Jesús de Praga,Pueblo Esther,"Pueblo Esther, Santa Fe, Argentina",-33.0788574,-60.5640762,ok_ciudad
1aca7f18-2589-449d-ac61-55e8f868d053,Natividad de la Santísima Virgen María,Cañada de Gomez,"Cañada de Gomez, Santa Fe, Argentina",-32.8234448,-61.3905125,ok_ciudad
