id,parent_id,name,slug,deanery,city,address,phone,email,latitude,longitude,status,created_at
992b771c-f649-4db3-b40a-ee1690f26482,ab495774-7b66-40cd-8d9f-a033bb61cca7,Capilla Ntra. Sra. del Carmen,cap_ntra_sra_carmen_rosario,saladillo,Rosario,"Calle 2125, Nº 3824",null,null,null,null,active,2026-05-15 23:04:17.930426+00
ea36eb57-cd16-4b9a-8e21-d830191d255d,ab495774-7b66-40cd-8d9f-a033bb61cca7,Capilla San Cayetano,cap_s_cayetano_rosario,saladillo,Rosario,Piamonte s/n,null,null,null,null,active,2026-05-15 23:04:17.930426+00
10c2f380-7dee-455f-810a-b0a3e435cf90,1f2295a2-c399-46b1-8d3d-d6da466f1e25,Capilla Ntra. Sra. de Pentecostés,cap_ntra_sra_pentecostes_rosario,norte,Rosario,Washington y Casiano Casas,null,null,null,null,active,2026-05-15 23:04:17.930426+00
81a38bdd-6149-4706-916a-1b1beb9d4f03,3c5c6c9c-e535-40e4-ac45-2764bbaa8f3c,"Hogarcito “San Roque”,",hogarcito_s_roque_capitan_bermudez,san lorenzo,Capitán Bermúdez,"Los Inmigrantes 374, ",0341 4912008,null,null,null,active,2026-05-15 23:04:17.930426+00
fa93d991-5ecb-4875-97f4-f2d5e19504b9,d2b0a5bb-56e3-408a-8df9-68f6d3aa4940,Capilla Ntra. Sra. del Encuentro,cap_ntra_sra_encuentro_rosario,sur,Rosario,"Calle Brandaza y Rueda, ",null,null,null,null,active,2026-05-15 23:04:17.930426+00
6b2e46b3-2074-424b-acf4-79635975f322,95013721-69cb-41f2-99fc-a8c5db3c4d33,Capilla del Cementerio “La Piedad,cap_cementerio_piedad_rosario,oeste,Rosario,Av. Provincias Unidas 2652,0341 4560083,null,null,null,active,2026-05-15 23:04:17.930426+00
1d4e0c27-6319-4dd4-a174-4595d8b9ba33,f23cba42-426f-4a16-b70a-6cd5f63755ee,"Capilla Niño Dios, Casa del Clero",cap_nino_dios_casa_clero_rosario,centro,Rosario,España 972,0341 4483603,null,null,null,active,2026-05-15 23:04:17.930426+00
919e6fea-63b9-4282-847c-62396982362f,f23cba42-426f-4a16-b70a-6cd5f63755ee,Capilla Sagrado Corazón de Jesús,cap_sagrado_corazon_jesus_las_rosas,cañada de gomez,Las Rosas,Guillermo Benitz 465,null,null,null,null,active,2026-05-15 23:04:17.930426+00
cf4062c9-6cda-48bf-ac4d-0da59c465ef4,f23cba42-426f-4a16-b70a-6cd5f63755ee,Capilla San José Obrero,cap_s_jose_obrero_las_rosas,cañada de gomez,Las Rosas,Gral. López 850,null,null,null,null,active,2026-05-15 23:04:17.930426+00
f04a5356-fe90-4a63-8a4c-95c4023dfaff,f23cba42-426f-4a16-b70a-6cd5f63755ee,Capilla Ntra. Sra. de Lourdes,cap_ntra_sra_lourdes_oliveros,san lorenzo,Oliveros,LA RIBERA,null,null,null,null,active,2026-05-15 23:04:17.930426+00
98c8d183-082a-48d8-8773-a0dc241e1cb0,9736865e-4b69-4964-9436-299465f0958d,Capilla Ntra. Sra. de Luján,cap_ntra_sra_lujan_totoras,cañada de gomez,Totoras,calle Fray Luis Beltrán,null,null,null,null,active,2026-05-15 23:04:17.930426+00
2e213615-61a0-4ec7-a7c0-aed45235635f,9736865e-4b69-4964-9436-299465f0958d,Capilla San Francisco de Asís,cap_s_francisco_asis_sta_teresa,santa teresa,Santa Teresa,FRANCISCO PAZ,null,null,null,null,active,2026-05-15 23:04:17.930426+00
943150bf-9856-4454-9298-e72b8f5fc1cc,9736865e-4b69-4964-9436-299465f0958d,Iglesia San Antonio de Padua,igl_s_antonio_padua_sta_teresa,santa teresa,Santa Teresa,CAÑADA RICA,null,null,null,null,active,2026-05-15 23:04:17.930426+00
eff36dc0-312a-4911-9c80-72d90441e205,9f463a91-02ff-4760-a395-8a04036292ef,Oratorio Ntra. Sra. de la Asunción,oratorio_ntra_sra_asuncion_rosario,sur,Rosario,null,null,null,null,null,active,2026-05-15 23:04:17.930426+00
26408aa0-2f95-4945-acd2-cf5f6af2f12f,286411ad-0bba-4d3b-bc22-17c2d5ced698,Capilla de la Vicaría Sagrado Corazón,cap_vicaria_sagrado_corazon_rosario,norte,Rosario,Humberto Primo 2401 y Aldao,0341 4345548,null,null,null,active,2026-05-15 23:04:17.930426+00
9ae373ee-eac8-4cca-a5e2-8d7fc23437ce,286411ad-0bba-4d3b-bc22-17c2d5ced698,Ermita Rosa Mística,erm_rosa_mistica_rosario,norte,Rosario,Casilda y Nueva York,null,null,null,null,active,2026-05-15 23:04:17.930426+00
635a1fce-6db4-4a92-8000-d123a63e4b97,121de8ff-c477-49b1-8762-ad856a8200d8,Capilla Ntra. Sra. de Luján,cap_ntra_sra_lujan_empalme_vc,villa constitucion,Empalme V.C.,"Buenos Aires 175, PAVÓN",null,null,null,null,active,2026-05-15 23:04:17.930426+00
