id,name,city,address,query_usada,latitude,longitude,status
f46826f0-00b5-4d22-8946-5f5e9138bf77,Ntra. Sra. de Fátima,Las Parejas,,"Ntra. Sra. de Fátima, Las Parejas, Santa Fe, Argentina",-32.6836225,-61.5173039,ok
2ddc3300-7847-44bb-af40-1305f57d3f62,Ntra. Sra. de la Merced,Armstrong,,"Ntra. Sra. de la Merced, Armstrong, Santa Fe, Argentina",-32.7846362,-61.6031245,ok
8511b898-e871-418a-9bfb-0a8ed47b19e8,Ntra. Sra. de la Merced,Correa,,"Ntra. Sra. de la Merced, Correa, Santa Fe, Argentina",-32.8491526,-61.2546209,ok
e0d945a5-e6fd-4aa7-bf8a-c08ca0e4d2eb,Ntra. Sra. de las Mercedes,Montes de Oca,,"Ntra. Sra. de las Mercedes, Montes de Oca, Santa Fe, Argentina",-32.5669811,-61.7680651,ok
057e22d4-39c6-436d-a563-0ccc8ca75a60,Ntra. Sra. del Pilar,Carcarañá,,"Ntra. Sra. del Pilar, Carcarañá, Santa Fe, Argentina",-32.8577657,-61.1519723,ok
6fa3b970-49db-499a-a9ea-6dad7381392b,Ntra. Sra. del Valle,Tortugas,,"Ntra. Sra. del Valle, Tortugas, Santa Fe, Argentina",,,no_encontrado
b8f8b5d6-ab78-4955-8dba-0c8a1b71f9ff,San Francisco de Asís,Bustinza,,"San Francisco de Asís, Bustinza, Santa Fe, Argentina",-32.7387643,-61.2914968,ok
be10f718-0c76-442b-ab63-0b8f91afe5d1,San Jerónimo,San Jerónimo Sud,,"San Jerónimo, San Jerónimo Sud, Santa Fe, Argentina",-32.8788862,-61.0230257,ok
d66fd9cb-b1aa-4f8b-a77d-baf2169db8c0,San José,Roldán,,"San José, Roldán, Santa Fe, Argentina",-32.9202302,-60.8725511,ok
034c0577-ad62-4a58-a5bf-8be66d17f281,San Pedro Apóstol,Cañada de Gómez,,"San Pedro Apóstol, Cañada de Gómez, Santa Fe, Argentina",,,no_encontrado
f23cba42-426f-4a16-b70a-6cd5f63755ee,Santa Rosa de Lima,Las Rosas,,"Santa Rosa de Lima, Las Rosas, Santa Fe, Argentina",-32.4758932,-61.5768629,ok
9736865e-4b69-4964-9436-299465f0958d,Santa Teresa de Jesús,Totoras,,"Santa Teresa de Jesús, Totoras, Santa Fe, Argentina",-32.584438,-61.1678419,ok
4595f5dd-913c-434c-ac6d-64a49568fef0,Santo Domingo de Guzmán,Villa Eloisa,,"Santo Domingo de Guzmán, Villa Eloisa, Santa Fe, Argentina",,,no_encontrado
2f3f27f9-3720-4b1c-a473-93d13d56545d,Cristo Rey,Sanford,,"Cristo Rey, Sanford, Santa Fe, Argentina",-33.1465885,-61.2768191,ok
e57ef2b3-5b32-4a9d-a559-effc0c3e5b7e,Inmaculada Concepción,Arteaga,,"Inmaculada Concepción, Arteaga, Santa Fe, Argentina",,,no_encontrado
2a56ea53-ff27-4a43-a9c2-fb82e55ba977,Ntra. Sra. de Fátima,Casilda,,"Ntra. Sra. de Fátima, Casilda, Santa Fe, Argentina",,,no_encontrado
cdbf9fa1-54fd-4dd7-bd37-60d5098aebdc,Ntra. Sra. de Las Mercedes,Zavalla,,"Ntra. Sra. de Las Mercedes, Zavalla, Santa Fe, Argentina",-33.0214353,-60.8811156,ok
c1089fd3-74c2-4947-a837-0cea8ce447b9,Ntra. Sra. de Luján,Bigand,,"Ntra. Sra. de Luján, Bigand, Santa Fe, Argentina",,,no_encontrado
8dc44e14-22dd-43f5-8fb2-d5c7b34eee11,Ntra. Sra. de Luján,Casilda,,"Ntra. Sra. de Luján, Casilda, Santa Fe, Argentina",,,no_encontrado
c6e82675-5671-4101-bdca-5cc2b1591599,Ntra. Sra. del Carmen,Pérez,,"Ntra. Sra. del Carmen, Pérez, Santa Fe, Argentina",-32.998118,-60.7689554,ok
